Sample description: EDF_DataBlockID                     0.Image.Psd
Sample: EDF_DataBlockID  c= 0 mg/ml  Code: 
Parent(s): /Users/andreashlarsen/Downloads/Group4_120824Afertnoon/merge_001.dat /Users/andreashlarsen/Downloads/Group4_120824Afertnoon/merge_002.dat
  5.382382e-02   7.737775e-02   2.311688e-03
  5.416340e-02   7.589898e-02   2.266132e-03
  5.450298e-02   7.753429e-02   2.285442e-03
  5.484256e-02   7.292185e-02   2.171647e-03
  5.518215e-02   7.677889e-02   2.259177e-03
  5.552173e-02   7.020722e-02   2.158904e-03
  5.586131e-02   7.425925e-02   2.199259e-03
  5.620089e-02   6.868395e-02   2.102032e-03
  5.654048e-02   7.354413e-02   2.209693e-03
  5.688006e-02   7.377892e-02   2.237707e-03
  5.721964e-02   7.056607e-02   2.179285e-03
  5.755922e-02   6.962314e-02   2.145246e-03
  5.789881e-02   6.951183e-02   2.169028e-03
  5.823839e-02   6.632637e-02   2.080038e-03
  5.857797e-02   6.655461e-02   2.141392e-03
  5.891755e-02   6.647218e-02   2.117616e-03
  5.925714e-02   6.341990e-02   2.091700e-03
  5.959672e-02   6.130129e-02   2.082142e-03
  5.993630e-02   6.689838e-02   2.170175e-03
  6.027588e-02   6.186654e-02   2.086126e-03
  6.061547e-02   6.462275e-02   2.042366e-03
  6.095505e-02   6.351318e-02   2.070622e-03
  6.129463e-02   6.283305e-02   2.070982e-03
  6.163421e-02   5.861782e-02   1.966995e-03
  6.197380e-02   6.021220e-02   2.042060e-03
  6.231338e-02   5.607875e-02   1.926313e-03
  6.265296e-02   5.960129e-02   2.000185e-03
  6.299254e-02   5.520217e-02   1.929815e-03
  6.333213e-02   5.766074e-02   1.937014e-03
  6.367171e-02   5.710743e-02   1.986764e-03
  6.401129e-02   5.470879e-02   1.902189e-03
  6.435087e-02   5.554581e-02   1.938908e-03
  6.469046e-02   5.668700e-02   1.965933e-03
  6.503004e-02   4.973752e-02   1.818320e-03
  6.536962e-02   5.514442e-02   1.943985e-03
  6.570920e-02   5.573707e-02   1.895326e-03
  6.604879e-02   5.219030e-02   1.866652e-03
  6.638837e-02   5.132620e-02   1.868262e-03
  6.672795e-02   5.241196e-02   1.900990e-03
  6.706753e-02   4.909978e-02   1.808694e-03
  6.740712e-02   4.832761e-02   1.765379e-03
  6.774670e-02   5.461841e-02   1.884249e-03
  6.808628e-02   4.824883e-02   1.753289e-03
  6.842586e-02   4.889885e-02   1.808961e-03
  6.876544e-02   4.771255e-02   1.740104e-03
  6.910503e-02   4.681479e-02   1.733414e-03
  6.944461e-02   4.620427e-02   1.703378e-03
  6.978419e-02   4.562892e-02   1.673795e-03
  7.012377e-02   4.089701e-02   1.592543e-03
  7.046336e-02   4.534618e-02   1.632313e-03
  7.080294e-02   1.249096e-01   5.789614e-03
  7.114252e-02   4.482131e-02   1.629902e-03
  7.148210e-02   4.327114e-02   1.588192e-03
  7.182169e-02   4.041716e-02   1.523214e-03
  7.216127e-02   4.160489e-02   1.516668e-03
  7.250085e-02   3.908790e-02   1.504638e-03
  7.284043e-02   4.134996e-02   1.528402e-03
  7.318002e-02   4.045870e-02   1.529835e-03
  7.351960e-02   3.938030e-02   1.493674e-03
  7.385918e-02   4.018524e-02   1.480873e-03
