
           ####      G N O M             Version 5.0 (r12736)      ####
                                               Tue Aug 17 08:24:30 2021

           ####      Configuration                                 ####

    System Type:                   arbitrary monodisperse (job = 0)
    Minimum characteristic size:         0.0000
    Maximum characteristic size:        49.5000
    rad56:                               0.0000
    Force 0.0 at r = rmin:                  yes
    Force 0.0 at r = rmax:                  yes
    Initial alpha:                       0.0000
    Initial random seed:      50819837458648960
    Points in real space:                   221

    Input  1:                      F:/HR-LYS/dat/alys_0.9.dat
    First data point used:                    1
    Last data point used:                   222
    Scaling coefficient:             0.1000E+01
    Experimental setup:            point collimation



           ####      Results                                       ####

    Parameter    DISCRP  OSCILL  STABIL  SYSDEV  POSITV  VALCEN  SMOOTH
    Weight        1.000   3.000   3.000   3.000   1.000   1.000   1.000
    Sigma         0.300   0.600   0.120   0.120   0.120   0.120   0.600
    Ideal         0.700   1.100   0.000   1.000   1.000   0.950   0.000
    Current       0.708   1.446   0.030   0.371   1.000   0.928   0.140
               --------------------------------------------------------
    Estimate      0.999   0.717   0.940   0.000   1.000   0.966   0.947

    Angular range:                       0.0080 to       1.7200
    Reciprocal space Rg:             0.1456E+02
    Reciprocal space I(0):           0.4279E+02

    Real space range:                    0.0000 to      49.5000
    Real space Rg:                   0.1456E+02 +-   0.1072E+00
    Real space I(0):                 0.4279E+02 +-   0.1911E+00

    Highest ALPHA (theor):           0.4685E+03
    Current ALPHA:                   0.5186E+02

    Total Estimate:                      0.6835 (a REASONABLE solution)



           ####      Experimental Data and Fit                     ####

      S          J EXP       ERROR       J REG       I REG
   0.740000E-01   0.292201E+02   0.373620E+00   0.289999E+02   0.289999E+02
   0.760000E-01   0.287888E+02   0.373590E+00   0.283852E+02   0.283852E+02
   0.780000E-01   0.278233E+02   0.363160E+00   0.277672E+02   0.277672E+02
   0.800000E-01   0.273346E+02   0.356780E+00   0.271468E+02   0.271468E+02
   0.820000E-01   0.267188E+02   0.352210E+00   0.265247E+02   0.265247E+02
   0.840000E-01   0.261179E+02   0.352470E+00   0.259017E+02   0.259017E+02
   0.860000E-01   0.253669E+02   0.340610E+00   0.252784E+02   0.252784E+02
   0.880000E-01   0.249174E+02   0.338850E+00   0.246557E+02   0.246557E+02
   0.900000E-01   0.241880E+02   0.333570E+00   0.240341E+02   0.240341E+02
   0.920000E-01   0.237002E+02   0.329180E+00   0.234143E+02   0.234143E+02
   0.940000E-01   0.230571E+02   0.323940E+00   0.227971E+02   0.227971E+02
   0.960000E-01   0.225629E+02   0.402520E+00   0.221830E+02   0.221830E+02
   0.980000E-01   0.220270E+02   0.316970E+00   0.215726E+02   0.215726E+02
   0.100750E+00   0.210619E+02   0.212710E+00   0.207405E+02   0.207405E+02
   0.105000E+00   0.196430E+02   0.189470E+00   0.194741E+02   0.194741E+02
   0.110000E+00   0.182674E+02   0.189250E+00   0.180206E+02   0.180206E+02
   0.115000E+00   0.172525E+02   0.343810E+00   0.166133E+02   0.166133E+02
   0.120000E+00   0.157565E+02   0.656490E+00   0.152586E+02   0.152586E+02
   0.125000E+00   0.144181E+02   0.377180E+00   0.139619E+02   0.139619E+02
   0.130000E+00   0.131352E+02   0.351920E+00   0.127276E+02   0.127276E+02
   0.135000E+00   0.118664E+02   0.277470E+00   0.115591E+02   0.115591E+02
   0.140000E+00   0.107263E+02   0.230200E+00   0.104587E+02   0.104587E+02
   0.145000E+00   0.966113E+01   0.159390E+00   0.942825E+01   0.942825E+01
   0.150000E+00   0.860788E+01   0.190220E+00   0.846828E+01   0.846828E+01
   0.155000E+00   0.771753E+01   0.203260E+00   0.757880E+01   0.757880E+01
   0.160000E+00   0.680656E+01   0.160500E+00   0.675902E+01   0.675902E+01
   0.165000E+00   0.608288E+01   0.156030E+00   0.600758E+01   0.600758E+01
   0.170000E+00   0.538648E+01   0.144820E+00   0.532251E+01   0.532251E+01
   0.175000E+00   0.470440E+01   0.133190E+00   0.470141E+01   0.470141E+01
   0.180000E+00   0.408908E+01   0.165150E+00   0.414148E+01   0.414148E+01
   0.185000E+00   0.360585E+01   0.120960E+00   0.363962E+01   0.363962E+01
   0.190000E+00   0.310600E+01   0.122620E+00   0.319247E+01   0.319247E+01
   0.195000E+00   0.270075E+01   0.137430E+00   0.279652E+01   0.279652E+01
   0.200000E+00   0.238385E+01   0.116580E+00   0.244817E+01   0.244817E+01
   0.205000E+00   0.203135E+01   0.140570E+00   0.214376E+01   0.214376E+01
   0.210000E+00   0.182180E+01   0.133800E+00   0.187966E+01   0.187966E+01
   0.215000E+00   0.156953E+01   0.106490E+00   0.165228E+01   0.165228E+01
   0.220000E+00   0.131418E+01   0.108740E+00   0.145813E+01   0.145813E+01
   0.225000E+00   0.118652E+01   0.125770E+00   0.129386E+01   0.129386E+01
   0.230000E+00   0.105905E+01   0.102950E+00   0.115624E+01   0.115624E+01
   0.235000E+00   0.915950E+00   0.149470E+00   0.104224E+01   0.104224E+01
