Sample description: DMPC_25
Sample: DMPC_25  c= 1 mg/ml  Code: DMPC_25_water
Parent(s): analysis/processed/subtracted/DMPC_25_water_0097_sub.dat
  3.985350e-01   4.771081e+00   2.985935e+00
  4.012940e-01   6.529175e+00   2.924105e+00
  4.040530e-01   4.805625e+00   2.905154e+00
  4.068120e-01   8.062610e+00   2.919900e+00
  4.095720e-01   4.205165e+00   2.879286e+00
  4.123310e-01   3.942619e+00   2.933081e+00
  4.150900e-01   1.204874e+00   2.844152e+00
  4.178490e-01   3.804896e+00   2.885300e+00
  4.206090e-01   1.742844e+00   2.916019e+00
  4.233680e-01   7.636292e+00   2.884487e+00
  4.261270e-01   6.090341e+00   2.917632e+00
  4.288870e-01   6.556331e+00   2.841984e+00
  4.316460e-01   7.197706e+00   2.904368e+00
  4.344050e-01   1.025753e+01   2.898519e+00
  4.371640e-01   6.874929e+00   2.842327e+00
  4.399240e-01   4.180675e+00   2.855745e+00
  4.426830e-01   7.667379e+00   2.833482e+00
  4.454420e-01   8.588764e+00   2.881836e+00
  4.482010e-01   1.293436e+01   2.855092e+00
  4.509610e-01   4.627552e+00   2.807419e+00
  4.537200e-01   8.283315e+00   2.875757e+00
  4.564790e-01   8.179616e+00   2.836837e+00
  4.592390e-01   1.010650e+01   2.943060e+00
  4.619980e-01   1.179573e+01   2.890528e+00
  4.647570e-01   1.589322e+01   2.964676e+00
  4.675160e-01   1.400389e+01   2.976598e+00
  4.702760e-01   1.144950e+01   2.951091e+00
  4.730350e-01   1.266902e+01   3.010965e+00
  4.757940e-01   9.257747e+00   2.921669e+00
  4.785530e-01   1.420753e+01   2.965961e+00
  4.813130e-01   1.583968e+01   2.932238e+00
  4.840720e-01   1.544908e+01   2.952449e+00
  4.868310e-01   1.514591e+01   2.926099e+00
  4.895910e-01   1.596680e+01   2.907327e+00
  4.923500e-01   1.365228e+01   2.925580e+00
  4.951090e-01   1.908426e+01   2.905181e+00
  4.978680e-01   2.302907e+01   2.944117e+00
  5.006280e-01   1.126269e+01   2.823663e+00
  5.033870e-01   1.958237e+01   2.889667e+00
  5.061460e-01   1.468877e+01   2.880766e+00
  5.089050e-01   2.387163e+01   2.846789e+00
  5.116650e-01   1.712694e+01   2.824217e+00
  5.144240e-01   2.285084e+01   2.842727e+00
  5.171830e-01   1.914270e+01   2.857864e+00
  5.199430e-01   2.217804e+01   2.854294e+00
  5.227020e-01   2.574207e+01   2.806789e+00
  5.254610e-01   1.981453e+01   2.845384e+00
  5.282200e-01   1.864323e+01   2.812921e+00
  5.309800e-01   3.073648e+01   2.902190e+00
  5.337390e-01   2.557170e+01   2.840827e+00
  5.364980e-01   2.609122e+01   2.836137e+00
  5.392570e-01   2.916753e+01   2.886606e+00
  5.420170e-01   2.769286e+01   2.816962e+00
  5.447760e-01   2.296967e+01   2.861580e+00
  5.475350e-01   3.004321e+01   2.805282e+00
  5.502950e-01   2.301895e+01   2.828744e+00
  5.530540e-01   3.459702e+01   2.860805e+00
  5.558130e-01   2.930453e+01   2.794537e+00
  5.585720e-01   2.646505e+01   2.823641e+00
  5.613320e-01   3.286613e+01   2.800343e+00
  5.640910e-01   3.440740e+01   2.840666e+00
  5.668500e-01   3.105797e+01   2.808558e+00
  5.696100e-01   3.623650e+01   2.784274e+00
  5.723690e-01   3.194436e+01   2.825051e+00
  5.751280e-01   4.330476e+01   2.805499e+00
  5.778870e-01   3.840348e+01   2.823060e+00
  5.806470e-01   4.078878e+01   2.796519e+00
  5.834060e-01   3.830134e+01   2.799781e+00
  5.861650e-01   3.809258e+01   2.822423e+00
  5.889240e-01   3.871527e+01   2.792161e+00
  5.916840e-01   4.167284e+01   2.795290e+00
  5.944430e-01   4.339230e+01   2.765811e+00
  5.972020e-01   4.556774e+01   2.811389e+00
  5.999620e-01   4.091613e+01   2.779963e+00
  6.027210e-01   4.525025e+01   2.794564e+00
  6.054800e-01   4.330950e+01   2.797079e+00
  6.082390e-01   4.175903e+01   2.764505e+00
  6.109990e-01   4.935540e+01   2.805847e+00
  6.137580e-01   4.459090e+01   2.761464e+00
  6.165170e-01   4.652252e+01   2.799996e+00
  6.192760e-01   4.885986e+01   2.808840e+00
  6.220360e-01   5.117357e+01   2.788543e+00
  6.247950e-01   5.160423e+01   2.804182e+00
  6.275540e-01   4.733354e+01   2.751137e+00
  6.303140e-01   5.583903e+01   2.810686e+00
  6.330730e-01   5.471779e+01   2.802732e+00
  6.358320e-01   5.420673e+01   2.782412e+00
  6.385910e-01   5.558812e+01   2.791476e+00
  6.413510e-01   6.317184e+01   2.785681e+00
  6.441100e-01   5.632371e+01   2.802589e+00
  6.468690e-01   6.018226e+01   2.788745e+00
  6.496280e-01   6.086927e+01   2.793722e+00
  6.523880e-01   5.811395e+01   2.800402e+00
  6.551470e-01   6.417474e+01   2.777475e+00
  6.579060e-01   6.081405e+01   2.802183e+00
  6.606660e-01   6.625611e+01   2.790570e+00
  6.634250e-01   5.856132e+01   2.769387e+00
  6.661840e-01   6.558380e+01   2.809559e+00
  6.689430e-01   6.805507e+01   2.787965e+00
  6.717030e-01   6.706503e+01   2.790710e+00
  6.744620e-01   6.794771e+01   2.772614e+00
  6.772210e-01   7.050740e+01   2.794797e+00
  6.799800e-01   6.649091e+01   2.773318e+00
  6.827400e-01   6.918415e+01   2.769390e+00
  6.854990e-01   6.926555e+01   2.809658e+00
  6.882580e-01   7.392857e+01   2.778174e+00
  6.910180e-01   6.918898e+01   2.792382e+00
  6.937770e-01   7.436806e+01   2.795000e+00
  6.965360e-01   7.374656e+01   2.790378e+00
  6.992950e-01   7.866404e+01   2.794106e+00
  7.020550e-01   7.365563e+01   2.753763e+00
  7.048140e-01   7.859394e+01   2.801970e+00
  7.075730e-01   7.869152e+01   2.772345e+00
  7.103320e-01   8.111764e+01   2.806947e+00
  7.130920e-01   8.013076e+01   2.790929e+00
  7.158510e-01   8.377620e+01   2.812184e+00
  7.186100e-01   8.154182e+01   2.790864e+00
  7.213700e-01   8.291487e+01   2.757849e+00
  7.241290e-01   8.285473e+01   2.792843e+00
  7.268880e-01   8.586864e+01   2.790586e+00
  7.296470e-01   8.967110e+01   2.800522e+00
  7.324070e-01   8.959006e+01   2.816660e+00
