 q(Å⁻¹) Intensity(abs.units*thickness) sigma(abs.units*thickness) 
0.137278 0.0236499429 0.00045210344 
0.138022 0.0240852759 0.000460099981 
0.138766 0.0252020963 0.000464779686 
0.139510 0.0256915852 0.000479282993 
0.140254 0.0281251862 0.000503649486 
0.140998 0.02968892 0.000510845873 
0.141742 0.0303509888 0.000520949088 
0.142486 0.0330962794 0.000541674872 
0.143230 0.0347476074 0.000566020777 
0.143974 0.0384060743 0.000588574437 
0.144718 0.0539309549 0.000698989866 
0.145463 0.129351162 0.00109454833 
0.146207 0.223559951 0.00141394026 
0.146951 0.595407379 0.00236424949 
0.147695 1.3015575 0.00341172762 
0.148439 1.3803717 0.00357573267 
0.149183 1.02067141 0.00310260854 
0.149927 0.562560348 0.00226762545 
0.150671 0.283307658 0.00165353724 
0.151415 0.124757542 0.00105632581 
0.152159 0.062367925 0.000768725994 
0.152903 0.0431880227 0.000638245456 
0.153647 0.0382683509 0.000598088237 
0.154391 0.0330466737 0.000563460348 
0.155135 0.0316307721 0.000537740645 
0.155879 0.0300074589 0.000539440057 
0.156623 0.0291418732 0.000525504778 
0.157367 0.0286820977 0.000521348315 
0.158111 0.0270206023 0.000509530082 
0.158855 0.0263967191 0.000497889141 
0.159600 0.0260445346 0.000501415291 
0.160344 0.026714956 0.000503174187 
0.161088 0.0253010329 0.000490804784 
0.161832 0.0241517421 0.000487422557 
0.162576 0.0234894718 0.000477317112 
0.163320 0.0233994867 0.000479781973 
0.164064 0.0220611092 0.000453156316 
0.164808 0.0220529831 0.000463591592 
0.165552 0.021270215 0.000454229737 
0.166296 0.0216682102 0.000458464775 
0.167040 0.0234065521 0.000476505679 
0.167784 0.0263896727 0.000505965887 
0.168528 0.0419821076 0.00064731618 
0.169272 0.0657158162 0.000792913907 
0.170016 0.0738569187 0.00085247233 
0.170760 0.0596455337 0.000762482871 
0.171504 0.05607854 0.000746381888 
0.172248 0.0519135165 0.00072511038 
0.172992 0.0413587779 0.000621946841 
0.173737 0.0318973873 0.00057118994 
0.174481 0.0211606469 0.000449977396 
0.175225 0.0181297616 0.000431699487 
0.175969 0.0162368894 0.000395085268 
0.176713 0.0160056181 0.000394094953 
0.177457 0.0145674932 0.000386030037 
0.178201 0.0144758265 0.000373924859 
0.178945 0.0143521031 0.000380374416 
0.179689 0.0131452176 0.00035969552 
0.180433 0.013589692 0.00036924724 
0.181177 0.0133203583 0.00036915841 
0.181921 0.01347042 0.000359891714 
0.182665 0.0121810052 0.000349598818 
0.183409 0.0117198629 0.000344590428 
0.184153 0.0123078635 0.000353133217 
0.184897 0.0113239948 0.000336277419 
0.185641 0.0106311667 0.000321985034 
0.186385 0.0115400463 0.000339478797 
0.187130 0.0114573182 0.000342404485 
0.187874 0.0104789806 0.000324284171 
0.188618 0.0114804101 0.000339430169 
0.189362 0.0106988585 0.000326105448 
0.190106 0.0103626046 0.000324853393 
0.190850 0.0103067973 0.000325581485 
0.191594 0.00976321698 0.000309319761 
0.192338 0.010151576 0.000321541066 
