# Structure factor, S(q), used in: I(q) = P(q)*S(q)
# Default: S(q) = 1.0
# q                 S(q)             
  1.17308e-01      1.00000e+00      
  1.18559e-01      1.00000e+00      
  1.19810e-01      1.00000e+00      
  1.21060e-01      1.00000e+00      
  1.22311e-01      1.00000e+00      
  1.23561e-01      1.00000e+00      
  1.24812e-01      1.00000e+00      
  1.26063e-01      1.00000e+00      
  1.27313e-01      1.00000e+00      
  1.28564e-01      1.00000e+00      
  1.29815e-01      1.00000e+00      
  1.31065e-01      1.00000e+00      
  1.32316e-01      1.00000e+00      
  1.33566e-01      1.00000e+00      
  1.34817e-01      1.00000e+00      
  1.36068e-01      1.00000e+00      
  1.37318e-01      1.00000e+00      
  1.38569e-01      1.00000e+00      
  1.39820e-01      1.00000e+00      
  1.41070e-01      1.00000e+00      
  1.42321e-01      1.00000e+00      
  1.43571e-01      1.00000e+00      
  1.44822e-01      1.00000e+00      
  1.46073e-01      1.00000e+00      
  1.47323e-01      1.00000e+00      
  1.48574e-01      1.00000e+00      
  1.49825e-01      1.00000e+00      
  1.51075e-01      1.00000e+00      
  1.52326e-01      1.00000e+00      
  1.53576e-01      1.00000e+00      
  1.54827e-01      1.00000e+00      
  1.56078e-01      1.00000e+00      
  1.57328e-01      1.00000e+00      
  1.58579e-01      1.00000e+00      
  1.59830e-01      1.00000e+00      
  1.61080e-01      1.00000e+00      
  1.62331e-01      1.00000e+00      
  1.63581e-01      1.00000e+00      
  1.64832e-01      1.00000e+00      
  1.66083e-01      1.00000e+00      
  1.67333e-01      1.00000e+00      
  1.68584e-01      1.00000e+00      
  1.69835e-01      1.00000e+00      
  1.71085e-01      1.00000e+00      
  1.72336e-01      1.00000e+00      
  1.73586e-01      1.00000e+00      
  1.74837e-01      1.00000e+00      
  1.76088e-01      1.00000e+00      
  1.77338e-01      1.00000e+00      
  1.78589e-01      1.00000e+00      
  1.79840e-01      1.00000e+00      
  1.81090e-01      1.00000e+00      
  1.82341e-01      1.00000e+00      
  1.83591e-01      1.00000e+00      
  1.84842e-01      1.00000e+00      
  1.86093e-01      1.00000e+00      
  1.87343e-01      1.00000e+00      
  1.88594e-01      1.00000e+00      
  1.89845e-01      1.00000e+00      
  1.91095e-01      1.00000e+00      
  1.92346e-01      1.00000e+00      
  1.93596e-01      1.00000e+00      
  1.94847e-01      1.00000e+00      
  1.96098e-01      1.00000e+00      
  1.97348e-01      1.00000e+00      
  1.98599e-01      1.00000e+00      
  1.99850e-01      1.00000e+00      
  2.01100e-01      1.00000e+00      
  2.02351e-01      1.00000e+00      
  2.03602e-01      1.00000e+00      
  2.04852e-01      1.00000e+00      
  2.06103e-01      1.00000e+00      
  2.07353e-01      1.00000e+00      
  2.08604e-01      1.00000e+00      
  2.09855e-01      1.00000e+00      
  2.11105e-01      1.00000e+00      
  2.12356e-01      1.00000e+00      
  2.13607e-01      1.00000e+00      
  2.14857e-01      1.00000e+00      
  2.16108e-01      1.00000e+00      
  2.17358e-01      1.00000e+00      
  2.18609e-01      1.00000e+00      
  2.19860e-01      1.00000e+00      
  2.21110e-01      1.00000e+00      
  2.22361e-01      1.00000e+00      
  2.23612e-01      1.00000e+00      
  2.24862e-01      1.00000e+00      
  2.26113e-01      1.00000e+00      
  2.27363e-01      1.00000e+00      
  2.28614e-01      1.00000e+00      
  2.29865e-01      1.00000e+00      
  2.31115e-01      1.00000e+00      
  2.32366e-01      1.00000e+00      
  2.33617e-01      1.00000e+00      
  2.34867e-01      1.00000e+00      
  2.36118e-01      1.00000e+00      
