# q                 I(q)             
  2.22361e-01       3.50316e-03      
  2.23612e-01       3.49674e-03      
  2.24862e-01       3.48421e-03      
  2.26113e-01       3.46549e-03      
  2.27363e-01       3.44055e-03      
  2.28614e-01       3.40946e-03      
  2.29865e-01       3.37233e-03      
  2.31115e-01       3.32934e-03      
  2.32366e-01       3.28072e-03      
  2.33617e-01       3.22673e-03      
  2.34867e-01       3.16768e-03      
  2.36118e-01       3.10390e-03      
  2.37368e-01       3.03575e-03      
  2.38619e-01       2.96360e-03      
  2.39870e-01       2.88784e-03      
  2.41120e-01       2.80886e-03      
  2.42371e-01       2.72707e-03      
  2.43622e-01       2.64286e-03      
  2.44872e-01       2.55663e-03      
  2.46123e-01       2.46875e-03      
  2.47373e-01       2.37962e-03      
  2.48624e-01       2.28957e-03      
  2.49875e-01       2.19898e-03      
  2.51125e-01       2.10815e-03      
  2.52376e-01       2.01742e-03      
  2.53627e-01       1.92706e-03      
  2.54877e-01       1.83736e-03      
  2.56128e-01       1.74857e-03      
  2.57378e-01       1.66092e-03      
  2.58629e-01       1.57464e-03      
  2.59880e-01       1.48992e-03      
  2.61130e-01       1.40693e-03      
  2.62381e-01       1.32584e-03      
  2.63632e-01       1.24680e-03      
  2.64882e-01       1.16991e-03      
  2.66133e-01       1.09531e-03      
  2.67383e-01       1.02307e-03      
  2.68634e-01       9.53286e-04      
  2.69885e-01       8.86018e-04      
  2.71135e-01       8.21321e-04      
  2.72386e-01       7.59236e-04      
  2.73637e-01       6.99793e-04      
  2.74887e-01       6.43013e-04      
  2.76138e-01       5.88904e-04      
  2.77388e-01       5.37467e-04      
  2.78639e-01       4.88693e-04      
  2.79890e-01       4.42564e-04      
  2.81140e-01       3.99056e-04      
  2.82391e-01       3.58135e-04      
  2.83642e-01       3.19762e-04      
  2.84892e-01       2.83892e-04      
  2.86143e-01       2.50471e-04      
  2.87393e-01       2.19443e-04      
  2.88644e-01       1.90743e-04      
  2.89895e-01       1.64305e-04      
  2.91145e-01       1.40056e-04      
  2.92396e-01       1.17919e-04      
  2.93647e-01       9.78152e-05      
  2.94897e-01       7.96620e-05      
  2.96148e-01       6.33742e-05      
  2.97398e-01       4.88650e-05      
  2.98649e-01       3.60460e-05      
  2.99900e-01       2.48279e-05      
  3.01150e-01       1.51212e-05      
  3.02401e-01       6.83652e-06      
  3.03652e-01       -1.14990e-07     
  3.04902e-01       -5.82084e-06     
  3.06153e-01       -1.03669e-05     
  3.07404e-01       -1.38370e-05     
  3.08654e-01       -1.63124e-05     
  3.09905e-01       -1.78714e-05     
  3.11155e-01       -1.85892e-05     
  3.12406e-01       -1.85374e-05     
  3.13657e-01       -1.77841e-05     
  3.14907e-01       -1.63933e-05     
  3.16158e-01       -1.44249e-05     
  3.17409e-01       -1.19352e-05     
  3.18659e-01       -8.97608e-06     
  3.19910e-01       -5.59568e-06     
  3.21160e-01       -1.83825e-06     
  3.22411e-01       2.25554e-06      
  3.23662e-01       6.64846e-06      
  3.24912e-01       1.13064e-05      
  3.26163e-01       1.61980e-05      
  3.27414e-01       2.12946e-05      
  3.28664e-01       2.65694e-05      
  3.29915e-01       3.19975e-05      
  3.31165e-01       3.75553e-05      
  3.32416e-01       4.32204e-05      
  3.33667e-01       4.89708e-05      
  3.34917e-01       5.47849e-05      
  3.36168e-01       6.06411e-05      
  3.37419e-01       6.65177e-05      
  3.38669e-01       7.23920e-05      
  3.39920e-01       7.82410e-05      
  3.41170e-01       8.40408e-05      
  3.42421e-01       8.97663e-05      
  3.43672e-01       9.53917e-05      
  3.44922e-01       1.00890e-04      
  3.46173e-01       1.06234e-04      
  3.47424e-01       1.11394e-04      
  3.48674e-01       1.16342e-04      
  3.49925e-01       1.21049e-04      
  3.51175e-01       1.25485e-04      
  3.52426e-01       1.29622e-04      
  3.53677e-01       1.33431e-04      
  3.54927e-01       1.36884e-04      
  3.56178e-01       1.39958e-04      
  3.57429e-01       1.42628e-04      
  3.58679e-01       1.44872e-04      
  3.59930e-01       1.46673e-04      
  3.61180e-01       1.48015e-04      
  3.62431e-01       1.48887e-04      
  3.63682e-01       1.49281e-04      
  3.64932e-01       1.49194e-04      
  3.66183e-01       1.48626e-04      
  3.67434e-01       1.47585e-04      
  3.68684e-01       1.46080e-04      
  3.69935e-01       1.44128e-04      
  3.71185e-01       1.41750e-04      
  3.72436e-01       1.38971e-04      
  3.73687e-01       1.35822e-04      
  3.74937e-01       1.32339e-04      
  3.76188e-01       1.28562e-04      
  3.77439e-01       1.24535e-04      
  3.78689e-01       1.20305e-04      
  3.79940e-01       1.15924e-04      
  3.81190e-01       1.11446e-04      
  3.82441e-01       1.06927e-04      
  3.83692e-01       1.02425e-04      
  3.84942e-01       9.79990e-05      
  3.86193e-01       9.37093e-05      
  3.87444e-01       8.96149e-05      
  3.88694e-01       8.57745e-05      
  3.89945e-01       8.22451e-05      
  3.91195e-01       7.90818e-05      
  3.92446e-01       7.63366e-05      
  3.93697e-01       7.40586e-05      
  3.94947e-01       7.22925e-05      
  3.96198e-01       7.10790e-05      
  3.97449e-01       7.04536e-05      
  3.98699e-01       7.04465e-05      
  3.99950e-01       7.10824e-05      
  4.01201e-01       7.23799e-05      
  4.02451e-01       7.43515e-05      
  4.03702e-01       7.70034e-05      
  4.04952e-01       8.03352e-05      
  4.06203e-01       8.43404e-05      
  4.07454e-01       8.90059e-05      
  4.08704e-01       9.43127e-05      
  4.09955e-01       1.00236e-04      
  4.11206e-01       1.06744e-04      
