# q                 I(q)             
  2.00180e-01       2.47995e-04      
  2.01306e-01       1.99951e-04      
  2.02431e-01       1.57806e-04      
  2.03556e-01       1.21693e-04      
  2.04682e-01       9.16646e-05      
  2.05807e-01       6.76983e-05      
  2.06932e-01       4.97008e-05      
  2.08058e-01       3.75111e-05      
  2.09183e-01       3.09058e-05      
  2.10308e-01       2.96046e-05      
  2.11434e-01       3.32760e-05      
  2.12559e-01       4.15436e-05      
  2.13684e-01       5.39930e-05      
  2.14810e-01       7.01781e-05      
  2.15935e-01       8.96284e-05      
  2.17060e-01       1.11855e-04      
  2.18185e-01       1.36360e-04      
  2.19311e-01       1.62638e-04      
  2.20436e-01       1.90187e-04      
  2.21561e-01       2.18514e-04      
  2.22687e-01       2.47140e-04      
  2.23812e-01       2.75602e-04      
  2.24937e-01       3.03465e-04      
  2.26063e-01       3.30320e-04      
  2.27188e-01       3.55791e-04      
  2.28313e-01       3.79538e-04      
  2.29439e-01       4.01257e-04      
  2.30564e-01       4.20686e-04      
  2.31689e-01       4.37604e-04      
  2.32815e-01       4.51834e-04      
  2.33940e-01       4.63242e-04      
  2.35065e-01       4.71734e-04      
  2.36190e-01       4.77261e-04      
  2.37316e-01       4.79814e-04      
  2.38441e-01       4.79424e-04      
  2.39566e-01       4.76158e-04      
  2.40692e-01       4.70119e-04      
  2.41817e-01       4.61441e-04      
  2.42942e-01       4.50288e-04      
  2.44068e-01       4.36849e-04      
  2.45193e-01       4.21334e-04      
  2.46318e-01       4.03972e-04      
  2.47444e-01       3.85009e-04      
  2.48569e-01       3.64700e-04      
  2.49694e-01       3.43307e-04      
  2.50820e-01       3.21096e-04      
  2.51945e-01       2.98334e-04      
  2.53070e-01       2.75283e-04      
  2.54195e-01       2.52202e-04      
  2.55321e-01       2.29335e-04      
  2.56446e-01       2.06919e-04      
  2.57571e-01       1.85173e-04      
  2.58697e-01       1.64300e-04      
  2.59822e-01       1.44484e-04      
  2.60947e-01       1.25888e-04      
  2.62073e-01       1.08654e-04      
  2.63198e-01       9.29020e-05      
  2.64323e-01       7.87267e-05      
  2.65449e-01       6.62006e-05      
  2.66574e-01       5.53726e-05      
  2.67699e-01       4.62683e-05      
  2.68825e-01       3.88906e-05      
  2.69950e-01       3.32209e-05      
  2.71075e-01       2.92201e-05      
  2.72201e-01       2.68297e-05      
  2.73326e-01       2.59737e-05      
  2.74451e-01       2.65602e-05      
  2.75576e-01       2.84830e-05      
  2.76702e-01       3.16239e-05      
  2.77827e-01       3.58546e-05      
  2.78952e-01       4.10387e-05      
  2.80078e-01       4.70339e-05      
  2.81203e-01       5.36940e-05      
  2.82328e-01       6.08712e-05      
  2.83454e-01       6.84177e-05      
  2.84579e-01       7.61879e-05      
  2.85704e-01       8.40404e-05      
  2.86830e-01       9.18392e-05      
  2.87955e-01       9.94555e-05      
  2.89080e-01       1.06769e-04      
  2.90206e-01       1.13670e-04      
  2.91331e-01       1.20059e-04      
  2.92456e-01       1.25848e-04      
  2.93581e-01       1.30962e-04      
  2.94707e-01       1.35338e-04      
  2.95832e-01       1.38928e-04      
  2.96957e-01       1.41695e-04      
  2.98083e-01       1.43617e-04      
  2.99208e-01       1.44684e-04      
  3.00333e-01       1.44899e-04      
  3.01459e-01       1.44276e-04      
  3.02584e-01       1.42842e-04      
  3.03709e-01       1.40634e-04      
  3.04835e-01       1.37697e-04      
  3.05960e-01       1.34086e-04      
  3.07085e-01       1.29863e-04      
  3.08211e-01       1.25096e-04      
  3.09336e-01       1.19858e-04      
  3.10461e-01       1.14227e-04      
  3.11586e-01       1.08282e-04      
  3.12712e-01       1.02104e-04      
  3.13837e-01       9.57745e-05      
  3.14962e-01       8.93733e-05      
  3.16088e-01       8.29788e-05      
  3.17213e-01       7.66660e-05      
  3.18338e-01       7.05059e-05      
  3.19464e-01       6.45649e-05      
  3.20589e-01       5.89035e-05      
  3.21714e-01       5.35762e-05      
  3.22840e-01       4.86304e-05      
  3.23965e-01       4.41066e-05      
  3.25090e-01       4.00376e-05      
  3.26216e-01       3.64486e-05      
  3.27341e-01       3.33570e-05      
  3.28466e-01       3.07724e-05      
  3.29591e-01       2.86970e-05      
  3.30717e-01       2.71254e-05      
  3.31842e-01       2.60454e-05      
  3.32967e-01       2.54381e-05      
  3.34093e-01       2.52786e-05      
  3.35218e-01       2.55364e-05      
  3.36343e-01       2.61763e-05      
  3.37469e-01       2.71588e-05      
  3.38594e-01       2.84409e-05      
  3.39719e-01       2.99770e-05      
  3.40845e-01       3.17193e-05      
  3.41970e-01       3.36191e-05      
  3.43095e-01       3.56268e-05      
  3.44221e-01       3.76935e-05      
  3.45346e-01       3.97711e-05      
  3.46471e-01       4.18130e-05      
  3.47596e-01       4.37752e-05      
  3.48722e-01       4.56161e-05      
  3.49847e-01       4.72979e-05      
  3.50972e-01       4.87864e-05      
  3.52098e-01       5.00516e-05      
  3.53223e-01       5.10680e-05      
  3.54348e-01       5.18150e-05      
  3.55474e-01       5.22767e-05      
  3.56599e-01       5.24424e-05      
  3.57724e-01       5.23064e-05      
  3.58850e-01       5.18678e-05      
  3.59975e-01       5.11307e-05      
  3.61100e-01       5.01038e-05      
  3.62226e-01       4.88003e-05      
  3.63351e-01       4.72373e-05      
  3.64476e-01       4.54358e-05      
  3.65602e-01       4.34201e-05      
  3.66727e-01       4.12173e-05      
  3.67852e-01       3.88571e-05      
  3.68977e-01       3.63710e-05      
  3.70103e-01       3.37919e-05      
  3.71228e-01       3.11539e-05      
  3.72353e-01       2.84910e-05      
  3.73479e-01       2.58377e-05      
  3.74604e-01       2.32274e-05      
  3.75729e-01       2.06928e-05      
  3.76855e-01       1.82648e-05      
  3.77980e-01       1.59726e-05      
  3.79105e-01       1.38430e-05      
  3.80231e-01       1.19001e-05      
  3.81356e-01       1.01653e-05      
  3.82481e-01       8.65665e-06      
  3.83607e-01       7.38884e-06      
  3.84732e-01       6.37313e-06      
  3.85857e-01       5.61714e-06      
  3.86982e-01       5.12491e-06      
  3.88108e-01       4.89682e-06      
  3.89233e-01       4.92974e-06      
  3.90358e-01       5.21707e-06      
  3.91484e-01       5.74897e-06      
  3.92609e-01       6.51249e-06      
  3.93734e-01       7.49186e-06      
  3.94860e-01       8.66874e-06      
  3.95985e-01       1.00225e-05      
  3.97110e-01       1.15306e-05      
  3.98236e-01       1.31689e-05      
  3.99361e-01       1.49121e-05      
  4.00486e-01       1.67339e-05      
  4.01612e-01       1.86075e-05      
  4.02737e-01       2.05063e-05      
  4.03862e-01       2.24035e-05      
  4.04987e-01       2.42732e-05      
  4.06113e-01       2.60905e-05      
  4.07238e-01       2.78315e-05      
  4.08363e-01       2.94741e-05      
  4.09489e-01       3.09980e-05      
  4.10614e-01       3.23848e-05      
  4.11739e-01       3.36186e-05      
  4.12865e-01       3.46858e-05      
  4.13990e-01       3.55754e-05      
  4.15115e-01       3.62792e-05      
  4.16241e-01       3.67916e-05      
  4.17366e-01       3.71097e-05      
  4.18491e-01       3.72335e-05      
  4.19617e-01       3.71655e-05      
  4.20742e-01       3.69109e-05      
  4.21867e-01       3.64774e-05      
  4.22992e-01       3.58747e-05      
  4.24118e-01       3.51150e-05      
  4.25243e-01       3.42122e-05      
  4.26368e-01       3.31819e-05      
  4.27494e-01       3.20412e-05      
  4.28619e-01       3.08083e-05      
  4.29744e-01       2.95025e-05      
  4.30870e-01       2.81433e-05      
  4.31995e-01       2.67509e-05      
  4.33120e-01       2.53455e-05      
  4.34246e-01       2.39470e-05      
  4.35371e-01       2.25748e-05      
  4.36496e-01       2.12477e-05      
  4.37622e-01       1.99834e-05      
  4.38747e-01       1.87983e-05      
  4.39872e-01       1.77076e-05      
  4.40997e-01       1.67248e-05      
  4.42123e-01       1.58617e-05      
  4.43248e-01       1.51281e-05      
  4.44373e-01       1.45321e-05      
  4.45499e-01       1.40795e-05      
  4.46624e-01       1.37741e-05      
  4.47749e-01       1.36177e-05      
  4.48875e-01       1.36097e-05      
  4.50000e-01       1.37478e-05      
