# Structure factor, S(q), used in: I(q) = P(q)*S(q)
# Default: S(q) = 1.0
# q                 S(q)             
  1.31391e-01      1.00000e+00      
  1.32140e-01      1.00000e+00      
  1.32890e-01      1.00000e+00      
  1.33639e-01      1.00000e+00      
  1.34388e-01      1.00000e+00      
  1.35138e-01      1.00000e+00      
  1.35887e-01      1.00000e+00      
  1.36637e-01      1.00000e+00      
  1.37386e-01      1.00000e+00      
  1.38135e-01      1.00000e+00      
  1.38885e-01      1.00000e+00      
  1.39634e-01      1.00000e+00      
  1.40383e-01      1.00000e+00      
  1.41133e-01      1.00000e+00      
  1.41882e-01      1.00000e+00      
  1.42632e-01      1.00000e+00      
  1.43381e-01      1.00000e+00      
  1.44130e-01      1.00000e+00      
  1.44880e-01      1.00000e+00      
  1.45629e-01      1.00000e+00      
  1.46378e-01      1.00000e+00      
  1.47128e-01      1.00000e+00      
  1.47877e-01      1.00000e+00      
  1.48627e-01      1.00000e+00      
  1.49376e-01      1.00000e+00      
  1.50125e-01      1.00000e+00      
  1.50875e-01      1.00000e+00      
  1.51624e-01      1.00000e+00      
  1.52373e-01      1.00000e+00      
  1.53123e-01      1.00000e+00      
  1.53872e-01      1.00000e+00      
  1.54622e-01      1.00000e+00      
  1.55371e-01      1.00000e+00      
  1.56120e-01      1.00000e+00      
  1.56870e-01      1.00000e+00      
  1.57619e-01      1.00000e+00      
  1.58368e-01      1.00000e+00      
  1.59118e-01      1.00000e+00      
  1.59867e-01      1.00000e+00      
  1.60617e-01      1.00000e+00      
  1.61366e-01      1.00000e+00      
  1.62115e-01      1.00000e+00      
  1.62865e-01      1.00000e+00      
  1.63614e-01      1.00000e+00      
  1.64363e-01      1.00000e+00      
  1.65113e-01      1.00000e+00      
  1.65862e-01      1.00000e+00      
  1.66612e-01      1.00000e+00      
  1.67361e-01      1.00000e+00      
  1.68110e-01      1.00000e+00      
  1.68860e-01      1.00000e+00      
  1.69609e-01      1.00000e+00      
  1.70358e-01      1.00000e+00      
  1.71108e-01      1.00000e+00      
  1.71857e-01      1.00000e+00      
  1.72607e-01      1.00000e+00      
  1.73356e-01      1.00000e+00      
  1.74105e-01      1.00000e+00      
  1.74855e-01      1.00000e+00      
  1.75604e-01      1.00000e+00      
  1.76353e-01      1.00000e+00      
  1.77103e-01      1.00000e+00      
  1.77852e-01      1.00000e+00      
  1.78602e-01      1.00000e+00      
  1.79351e-01      1.00000e+00      
  1.80100e-01      1.00000e+00      
  1.80850e-01      1.00000e+00      
  1.81599e-01      1.00000e+00      
  1.82348e-01      1.00000e+00      
  1.83098e-01      1.00000e+00      
  1.83847e-01      1.00000e+00      
  1.84596e-01      1.00000e+00      
  1.85346e-01      1.00000e+00      
  1.86095e-01      1.00000e+00      
  1.86845e-01      1.00000e+00      
  1.87594e-01      1.00000e+00      
  1.88343e-01      1.00000e+00      
  1.89093e-01      1.00000e+00      
  1.89842e-01      1.00000e+00      
  1.90591e-01      1.00000e+00      
  1.91341e-01      1.00000e+00      
  1.92090e-01      1.00000e+00      
  1.92840e-01      1.00000e+00      
  1.93589e-01      1.00000e+00      
  1.94338e-01      1.00000e+00      
  1.95088e-01      1.00000e+00      
  1.95837e-01      1.00000e+00      
  1.96586e-01      1.00000e+00      
  1.97336e-01      1.00000e+00      
  1.98085e-01      1.00000e+00      
  1.98835e-01      1.00000e+00      
  1.99584e-01      1.00000e+00      
  2.00333e-01      1.00000e+00      
  2.01083e-01      1.00000e+00      
  2.01832e-01      1.00000e+00      
  2.02581e-01      1.00000e+00      
  2.03331e-01      1.00000e+00      
  2.04080e-01      1.00000e+00      
  2.04830e-01      1.00000e+00      
  2.05579e-01      1.00000e+00      
  2.06328e-01      1.00000e+00      
  2.07078e-01      1.00000e+00      
  2.07827e-01      1.00000e+00      
  2.08576e-01      1.00000e+00      
  2.09326e-01      1.00000e+00      
  2.10075e-01      1.00000e+00      
  2.10825e-01      1.00000e+00      
  2.11574e-01      1.00000e+00      
  2.12323e-01      1.00000e+00      
  2.13073e-01      1.00000e+00      
  2.13822e-01      1.00000e+00      
  2.14571e-01      1.00000e+00      
  2.15321e-01      1.00000e+00      
  2.16070e-01      1.00000e+00      
  2.16820e-01      1.00000e+00      
  2.17569e-01      1.00000e+00      
  2.18318e-01      1.00000e+00      
  2.19068e-01      1.00000e+00      
  2.19817e-01      1.00000e+00      
  2.20566e-01      1.00000e+00      
  2.21316e-01      1.00000e+00      
  2.22065e-01      1.00000e+00      
  2.22815e-01      1.00000e+00      
  2.23564e-01      1.00000e+00      
  2.24313e-01      1.00000e+00      
  2.25063e-01      1.00000e+00      
  2.25812e-01      1.00000e+00      
  2.26561e-01      1.00000e+00      
  2.27311e-01      1.00000e+00      
  2.28060e-01      1.00000e+00      
  2.28810e-01      1.00000e+00      
  2.29559e-01      1.00000e+00      
  2.30308e-01      1.00000e+00      
  2.31058e-01      1.00000e+00      
  2.31807e-01      1.00000e+00      
  2.32556e-01      1.00000e+00      
  2.33306e-01      1.00000e+00      
  2.34055e-01      1.00000e+00      
  2.34805e-01      1.00000e+00      
  2.35554e-01      1.00000e+00      
  2.36303e-01      1.00000e+00      
  2.37053e-01      1.00000e+00      
  2.37802e-01      1.00000e+00      
  2.38551e-01      1.00000e+00      
  2.39301e-01      1.00000e+00      
  2.40050e-01      1.00000e+00      
  2.40799e-01      1.00000e+00      
  2.41549e-01      1.00000e+00      
  2.42298e-01      1.00000e+00      
  2.43048e-01      1.00000e+00      
  2.43797e-01      1.00000e+00      
  2.44546e-01      1.00000e+00      
  2.45296e-01      1.00000e+00      
  2.46045e-01      1.00000e+00      
  2.46794e-01      1.00000e+00      
  2.47544e-01      1.00000e+00      
  2.48293e-01      1.00000e+00      
  2.49043e-01      1.00000e+00      
  2.49792e-01      1.00000e+00      
  2.50541e-01      1.00000e+00      
  2.51291e-01      1.00000e+00      
  2.52040e-01      1.00000e+00      
  2.52789e-01      1.00000e+00      
  2.53539e-01      1.00000e+00      
  2.54288e-01      1.00000e+00      
  2.55038e-01      1.00000e+00      
  2.55787e-01      1.00000e+00      
  2.56536e-01      1.00000e+00      
  2.57286e-01      1.00000e+00      
  2.58035e-01      1.00000e+00      
  2.58784e-01      1.00000e+00      
  2.59534e-01      1.00000e+00      
  2.60283e-01      1.00000e+00      
  2.61033e-01      1.00000e+00      
