No  scale pct2_054.dat pct2_054.dat                                             
  0.375072E+00  0.324199E+04  0.121279E+02
  0.377262E+00  0.323507E+04  0.121814E+02
  0.379452E+00  0.322254E+04  0.119164E+02
  0.381643E+00  0.320845E+04  0.120402E+02
  0.383833E+00  0.320707E+04  0.118305E+02
  0.386024E+00  0.319969E+04  0.118038E+02
  0.388214E+00  0.318070E+04  0.118111E+02
  0.390404E+00  0.316769E+04  0.116220E+02
  0.392595E+00  0.315242E+04  0.116943E+02
  0.394785E+00  0.314124E+04  0.115056E+02
  0.396976E+00  0.313388E+04  0.115496E+02
  0.399166E+00  0.312583E+04  0.114417E+02
  0.401357E+00  0.311502E+04  0.114136E+02
  0.403547E+00  0.309674E+04  0.115298E+02
  0.405737E+00  0.309160E+04  0.114243E+02
  0.407928E+00  0.308471E+04  0.115286E+02
  0.410118E+00  0.307520E+04  0.115472E+02
  0.412309E+00  0.306388E+04  0.114947E+02
  0.414499E+00  0.305546E+04  0.116311E+02
  0.416689E+00  0.304529E+04  0.114408E+02
  0.418880E+00  0.303631E+04  0.116138E+02
  0.421070E+00  0.303327E+04  0.114491E+02
  0.423261E+00  0.301821E+04  0.115175E+02
  0.425451E+00  0.301124E+04  0.114970E+02
  0.427641E+00  0.300249E+04  0.113906E+02
  0.429832E+00  0.299382E+04  0.114830E+02
  0.432022E+00  0.298071E+04  0.113088E+02
  0.434213E+00  0.296811E+04  0.114507E+02
  0.436403E+00  0.295833E+04  0.113591E+02
  0.438593E+00  0.295446E+04  0.113522E+02
  0.440784E+00  0.293993E+04  0.113504E+02
  0.442974E+00  0.292481E+04  0.112091E+02
  0.445165E+00  0.292129E+04  0.113619E+02
  0.447355E+00  0.291492E+04  0.112427E+02
  0.449545E+00  0.290752E+04  0.112345E+02
  0.451736E+00  0.289788E+04  0.112390E+02
  0.453926E+00  0.289127E+04  0.110765E+02
  0.456117E+00  0.288174E+04  0.112237E+02
  0.458307E+00  0.304607E+04  0.111636E+02
  0.460497E+00  0.290638E+04  0.111758E+02
  0.462688E+00  0.284150E+04  0.110796E+02
  0.464878E+00  0.283588E+04  0.110177E+02
  0.467069E+00  0.282354E+04  0.110735E+02
  0.469259E+00  0.281421E+04  0.108900E+02
  0.471449E+00  0.280186E+04  0.110264E+02
  0.473640E+00  0.279097E+04  0.108842E+02
  0.475830E+00  0.278146E+04  0.108908E+02
  0.478021E+00  0.277470E+04  0.109572E+02
  0.480211E+00  0.276413E+04  0.107499E+02
  0.482402E+00  0.275464E+04  0.109191E+02
  0.484592E+00  0.274789E+04  0.107208E+02
  0.486782E+00  0.274739E+04  0.107844E+02
  0.488973E+00  0.272921E+04  0.108026E+02
  0.491163E+00  0.271162E+04  0.106682E+02
  0.493354E+00  0.270854E+04  0.107794E+02
  0.495544E+00  0.269818E+04  0.105234E+02
  0.497734E+00  0.268699E+04  0.106847E+02
  0.499925E+00  0.267632E+04  0.106016E+02
  0.502115E+00  0.266431E+04  0.105889E+02
  0.504306E+00  0.266772E+04  0.106077E+02
  0.506496E+00  0.266196E+04  0.104436E+02
  0.508686E+00  0.265157E+04  0.105558E+02
  0.510877E+00  0.263877E+04  0.104492E+02
  0.513067E+00  0.262234E+04  0.104577E+02
  0.515258E+00  0.260957E+04  0.104116E+02
