Sample description: chromixs
Sample: chromixs  c= 0 mg/ml  Code: chromixs
  4.406240e-01   5.785400e+03   1.865566e+01
  4.433880e-01   5.617370e+03   1.898492e+01
  4.461520e-01   5.391721e+03   1.882483e+01
  4.489170e-01   5.246748e+03   1.907842e+01
  4.516810e-01   5.011032e+03   1.877753e+01
  4.544450e-01   4.847769e+03   1.879424e+01
  4.572090e-01   4.635109e+03   1.898057e+01
  4.599730e-01   4.483889e+03   1.872040e+01
  4.627380e-01   4.312806e+03   1.890975e+01
  4.655020e-01   4.122572e+03   1.872564e+01
  4.682660e-01   3.975001e+03   1.862610e+01
  4.710300e-01   3.803273e+03   1.848275e+01
  4.737950e-01   3.682764e+03   1.818046e+01
  4.765590e-01   3.508971e+03   1.804803e+01
  4.793230e-01   3.357850e+03   1.768467e+01
  4.820870e-01   3.217446e+03   1.775766e+01
  4.848520e-01   3.083077e+03   1.770827e+01
  4.876160e-01   2.949191e+03   1.725685e+01
  4.903800e-01   2.768496e+03   1.726598e+01
  4.931440e-01   2.659426e+03   1.681759e+01
  4.959090e-01   2.552050e+03   1.698284e+01
  4.986730e-01   2.379495e+03   1.675732e+01
  5.014370e-01   2.340271e+03   1.662106e+01
  5.042010e-01   2.188532e+03   1.654132e+01
  5.069650e-01   2.080003e+03   1.643601e+01
  5.097300e-01   1.977671e+03   1.624952e+01
  5.124940e-01   1.855538e+03   1.607418e+01
  5.152580e-01   1.759003e+03   1.612930e+01
  5.180220e-01   1.689105e+03   1.613787e+01
  5.207870e-01   1.591632e+03   1.599091e+01
  5.235510e-01   1.492528e+03   1.593131e+01
  5.263150e-01   1.401847e+03   1.580059e+01
  5.290790e-01   1.310249e+03   1.580051e+01
  5.318440e-01   1.230018e+03   1.576234e+01
  5.346080e-01   1.189171e+03   1.565870e+01
  5.373720e-01   1.095129e+03   1.556010e+01
  5.401360e-01   9.980599e+02   1.544755e+01
  5.429000e-01   9.571976e+02   1.549500e+01
  5.456650e-01   8.665598e+02   1.520878e+01
  5.484290e-01   8.237986e+02   1.534060e+01
  5.511930e-01   7.326489e+02   1.514389e+01
  5.539570e-01   7.080396e+02   1.513306e+01
  5.567220e-01   6.600881e+02   1.519979e+01
  5.594860e-01   5.910996e+02   1.485297e+01
  5.622500e-01   5.635934e+02   1.503262e+01
  5.650140e-01   4.990449e+02   1.501978e+01
  5.677790e-01   4.750729e+02   1.483581e+01
  5.705430e-01   4.251124e+02   1.493002e+01
  5.733070e-01   3.967527e+02   1.459775e+01
  5.760710e-01   3.112293e+02   1.488307e+01
  5.788350e-01   3.206128e+02   1.472883e+01
  5.816000e-01   2.904384e+02   1.458000e+01
  5.843640e-01   2.836646e+02   1.468529e+01
  5.871280e-01   2.625204e+02   1.449494e+01
  5.898920e-01   2.255198e+02   1.474345e+01
  5.926570e-01   2.109877e+02   1.440437e+01
  5.954210e-01   1.910911e+02   1.447553e+01
  5.981850e-01   1.611281e+02   1.444786e+01
  6.009490e-01   1.510113e+02   1.438254e+01
  6.037140e-01   1.337237e+02   1.447543e+01
  6.064780e-01   1.110785e+02   1.423639e+01
  6.092420e-01   1.099018e+02   1.430797e+01
  6.120060e-01   1.219992e+02   1.426089e+01
  6.147700e-01   9.916172e+01   1.423612e+01
  6.175350e-01   1.001258e+02   1.423832e+01
  6.202990e-01   9.116895e+01   1.420547e+01
  6.230630e-01   9.428836e+01   1.422511e+01
  6.258270e-01   1.154710e+02   1.418126e+01
  6.285920e-01   9.080434e+01   1.397318e+01
  6.313560e-01   1.260311e+02   1.407820e+01
  6.341200e-01   1.043681e+02   1.409692e+01
  6.368840e-01   1.262481e+02   1.421999e+01
  6.396490e-01   1.169718e+02   1.395980e+01
  6.424130e-01   1.534906e+02   1.404847e+01
  6.451770e-01   1.598572e+02   1.397330e+01
  6.479410e-01   1.651965e+02   1.403101e+01
  6.507060e-01   1.793966e+02   1.394508e+01
  6.534700e-01   1.916104e+02   1.392224e+01
  6.562340e-01   2.354646e+02   1.400808e+01
  6.589980e-01   2.208284e+02   1.388866e+01
  6.617620e-01   2.172960e+02   1.386651e+01
  6.645270e-01   2.659006e+02   1.390826e+01
  6.672910e-01   2.783839e+02   1.388887e+01
  6.700550e-01   2.897385e+02   1.391455e+01
  6.728190e-01   3.204684e+02   1.379737e+01
  6.755840e-01   3.367416e+02   1.377631e+01
  6.783480e-01   3.766038e+02   1.392041e+01
  6.811120e-01   3.840738e+02   1.370895e+01
  6.838760e-01   4.069542e+02   1.398452e+01
  6.866410e-01   4.090413e+02   1.364961e+01
  6.894050e-01   4.550181e+02   1.379330e+01
  6.921690e-01   4.672547e+02   1.375514e+01
  6.949330e-01   4.760943e+02   1.374218e+01
  6.976970e-01   5.275423e+02   1.372100e+01
  7.004620e-01   5.310390e+02   1.365148e+01
  7.032260e-01   5.726719e+02   1.381452e+01
  7.059900e-01   5.777398e+02   1.369000e+01
  7.087540e-01   5.957968e+02   1.372446e+01
  7.115190e-01   6.574247e+02   1.366160e+01
  7.142830e-01   6.608685e+02   1.362926e+01
  7.170470e-01   6.652401e+02   1.373225e+01
  7.198110e-01   7.328192e+02   1.352537e+01
  7.225760e-01   7.282765e+02   1.364818e+01
  7.253400e-01   7.553863e+02   1.364841e+01
  7.281040e-01   7.518566e+02   1.360866e+01
  7.308680e-01   7.999052e+02   1.363132e+01
  7.336320e-01   8.126044e+02   1.347082e+01
  7.363970e-01   8.569984e+02   1.364769e+01
  7.391610e-01   9.003394e+02   1.354365e+01
