
Sample:   c= 0 mg/ml  Code: 
 5.518330e-002  5.630416e-002  7.927551e-004
 5.557330e-002  5.551611e-002  7.693851e-004
 5.596320e-002  5.549051e-002  7.610348e-004
 5.635320e-002  5.359979e-002  7.537942e-004
 5.674320e-002  5.305260e-002  7.407210e-004
 5.713310e-002  5.278844e-002  7.652775e-004
 5.752310e-002  5.179845e-002  7.208739e-004
 5.791310e-002  5.159715e-002  7.611237e-004
 5.830300e-002  5.067637e-002  7.184910e-004
 5.869300e-002  5.049180e-002  7.182028e-004
 5.908290e-002  4.964648e-002  7.546249e-004
 5.947290e-002  5.033445e-002  6.976950e-004
 5.986290e-002  4.926674e-002  7.235149e-004
 6.025280e-002  4.892561e-002  7.035818e-004
 6.064280e-002  4.798202e-002  7.195652e-004
 6.103270e-002  4.749935e-002  7.003870e-004
 6.142270e-002  4.692240e-002  6.868947e-004
 6.181260e-002  4.755898e-002  7.070812e-004
 6.220260e-002  4.719294e-002  6.964221e-004
 6.259250e-002  4.545349e-002  6.882276e-004
 6.298250e-002  4.556273e-002  6.848063e-004
 6.337240e-002  4.512161e-002  6.933682e-004
 6.376240e-002  4.434431e-002  6.973633e-004
 6.415240e-002  4.273270e-002  6.594558e-004
 6.454230e-002  4.377148e-002  6.665680e-004
 6.493230e-002  4.293494e-002  6.587198e-004
 6.532220e-002  4.252242e-002  6.674726e-004
 6.571220e-002  4.177996e-002  6.558284e-004
 6.610210e-002  4.169517e-002  6.490544e-004
 6.649200e-002  4.080861e-002  6.518542e-004
 6.688200e-002  4.064838e-002  6.325431e-004
 6.727190e-002  3.991807e-002  6.353988e-004
 6.766190e-002  4.012523e-002  6.299054e-004
 6.805180e-002  3.901873e-002  6.226299e-004
 6.844180e-002  3.929369e-002  6.316441e-004
 6.883170e-002  3.849817e-002  6.246487e-004
 6.922170e-002  3.853615e-002  6.237883e-004
 6.961160e-002  3.830612e-002  6.104682e-004
 7.000160e-002  3.691385e-002  6.462720e-004
 7.039150e-002  3.697696e-002  6.109313e-004
 7.078140e-002  3.646975e-002  6.059525e-004
 7.117140e-002  3.581546e-002  5.946809e-004
 7.156130e-002  3.576897e-002  6.095856e-004
 7.195130e-002  3.541873e-002  6.054855e-004
 7.234120e-002  3.463768e-002  5.838448e-004
 7.273110e-002  3.456241e-002  5.797925e-004
 7.312110e-002  3.431949e-002  5.827778e-004
 7.351100e-002  3.381976e-002  5.795224e-004
 7.390090e-002  3.291063e-002  5.793202e-004
 7.429090e-002  3.337309e-002  5.731802e-004
 7.468080e-002  3.207482e-002  5.742425e-004
 7.507070e-002  3.248735e-002  5.752423e-004
 7.546070e-002  3.148964e-002  5.633100e-004
 7.585060e-002  3.151775e-002  5.614232e-004
 7.624050e-002  3.096373e-002  5.602155e-004
 7.663050e-002  3.068769e-002  5.586874e-004
 7.702040e-002  3.017706e-002  5.608184e-004
 7.741030e-002  2.997352e-002  5.526843e-004
 7.780030e-002  3.018566e-002  5.526885e-004
 7.819020e-002  2.952567e-002  5.511093e-004
 7.858010e-002  2.916767e-002  5.533508e-004
 7.897000e-002  2.866673e-002  5.511354e-004
 7.936000e-002  2.812728e-002  5.490200e-004
 7.974990e-002  2.775508e-002  5.471404e-004
 8.013980e-002  2.792083e-002  5.568567e-004
 8.052970e-002  2.771142e-002  5.409125e-004
 8.091970e-002  2.688125e-002  5.404306e-004
 8.130960e-002  2.710824e-002  5.432135e-004
 8.169950e-002  2.624988e-002  5.296429e-004
 8.208940e-002  2.651683e-002  5.405295e-004
 8.247930e-002  2.574436e-002  5.308326e-004
 8.286930e-002  2.548362e-002  5.265668e-004
 8.325920e-002  2.574955e-002  5.285212e-004
 8.364910e-002  2.514820e-002  5.236003e-004
 8.403900e-002  2.559494e-002  5.261716e-004
 8.442890e-002  2.465971e-002  5.142165e-004
 8.481890e-002  2.445981e-002  5.168751e-004
 8.520880e-002  2.411167e-002  5.171575e-004
 8.559870e-002  2.361236e-002  5.192694e-004
 8.598860e-002  2.319669e-002  5.198247e-004
 8.637850e-002  2.338789e-002  5.139568e-004
 8.676840e-002  2.287602e-002  5.140894e-004
 8.715830e-002  2.269938e-002  5.203845e-004
 8.754820e-002  2.216925e-002  5.173800e-004
 8.793810e-002  2.175748e-002  5.066390e-004
 8.832810e-002  2.129567e-002  5.061550e-004
 8.871800e-002  2.187715e-002  5.048546e-004
 8.910790e-002  2.079995e-002  5.005760e-004
 8.949780e-002  2.131948e-002  4.952969e-004
 8.988770e-002  2.061177e-002  4.968572e-004
 9.027760e-002  2.077624e-002  4.868777e-004
 9.066750e-002  2.086363e-002  4.921113e-004
 9.105740e-002  2.031884e-002  4.842010e-004
 9.144730e-002  2.005919e-002  4.870134e-004
 9.183720e-002  2.018113e-002  4.881295e-004
 9.222710e-002  1.931855e-002  4.846781e-004
 9.261700e-002  1.925445e-002  4.800021e-004
 9.300690e-002  1.910100e-002  4.798342e-004
 9.339680e-002  1.893970e-002  4.821700e-004
 9.378670e-002  1.796732e-002  4.835609e-004
 9.417660e-002  1.835533e-002  4.714863e-004
 9.456650e-002  1.826957e-002  4.729488e-004
 9.495640e-002  1.791017e-002  4.692033e-004
 9.534630e-002  1.769309e-002  4.700063e-004
 9.573610e-002  1.744735e-002  4.646922e-004
 9.612600e-002  1.754691e-002  4.709755e-004
 9.651590e-002  1.696521e-002  4.649133e-004
 9.690580e-002  1.710681e-002  4.534430e-004
 9.729570e-002  1.638060e-002  4.538298e-004
 9.768560e-002  1.688701e-002  4.527664e-004
 9.807550e-002  1.619174e-002  4.572863e-004
 9.846540e-002  1.614616e-002  4.564724e-004
 9.885520e-002  1.577644e-002  4.600621e-004
 9.924510e-002  1.598522e-002  4.552701e-004
 9.963500e-002  1.609930e-002  4.576501e-004
 1.000250e-001  1.531282e-002  4.568144e-004
 1.004150e-001  1.501239e-002  4.561485e-004
 1.008050e-001  1.527166e-002  4.528258e-004
 1.011950e-001  1.450283e-002  4.578858e-004
 1.015840e-001  1.479935e-002  4.531700e-004
 1.019740e-001  1.497116e-002  4.485185e-004
 1.023640e-001  1.428965e-002  4.468929e-004
 1.027540e-001  1.477231e-002  4.402813e-004
 1.031440e-001  1.366097e-002  4.530483e-004
 1.035340e-001  1.359942e-002  4.494497e-004
 1.039240e-001  1.372424e-002  4.357308e-004
 1.043140e-001  1.377014e-002  4.393352e-004
 1.047030e-001  1.350051e-002  4.416069e-004
 1.050930e-001  1.306460e-002  4.370984e-004
 1.054830e-001  1.254395e-002  4.378333e-004
 1.058730e-001  1.309211e-002  4.470969e-004
 1.062630e-001  1.310360e-002  4.383420e-004
 1.066530e-001  1.279097e-002  4.349801e-004
 1.070430e-001  1.242699e-002  4.483366e-004
 1.074320e-001  1.223837e-002  4.388579e-004
 1.078220e-001  1.260503e-002  4.365384e-004
 1.082120e-001  1.207050e-002  4.388591e-004
 1.086020e-001  1.151432e-002  4.403674e-004
 1.089920e-001  1.130210e-002  4.308030e-004
 1.093820e-001  1.172729e-002  4.291313e-004
 1.097720e-001  1.130881e-002  4.256494e-004
 1.101610e-001  1.115304e-002  4.305587e-004
 1.105510e-001  1.126479e-002  4.301571e-004
 1.109410e-001  1.129779e-002  4.276268e-004
 1.113310e-001  1.175050e-002  4.247974e-004
 1.117210e-001  1.083506e-002  4.233393e-004
 1.121110e-001  1.078536e-002  4.173328e-004
 1.125010e-001  1.068353e-002  4.265004e-004
 1.128900e-001  1.020361e-002  4.190579e-004
 1.132800e-001  1.055564e-002  4.168896e-004
 1.136700e-001  1.001570e-002  4.235850e-004
 1.140600e-001  1.031291e-002  4.215316e-004
 1.144500e-001  1.000638e-002  4.284725e-004
 1.148400e-001  9.694169e-003  4.238673e-004
 1.152300e-001  9.522179e-003  4.257665e-004
 1.156190e-001  9.389518e-003  4.388972e-004
 1.160090e-001  9.711496e-003  4.294406e-004
 1.163990e-001  9.809480e-003  4.404289e-004
 1.167890e-001  9.188930e-003  4.308229e-004
 1.171790e-001  9.202705e-003  4.236444e-004
 1.175690e-001  9.321248e-003  4.295907e-004
 1.179580e-001  9.142249e-003  4.271596e-004
 1.183480e-001  8.892113e-003  4.372853e-004
 1.187380e-001  8.849074e-003  4.382731e-004
