q	I(q)	SD
0.1419	5.98207	0.75109
0.14234	6.34028	0.71772
0.1427	7.08771	0.76274
0.14315	7.04877	0.76271
0.14361	6.88998	0.75558
0.14406	6.52149	0.75372
0.14445	5.89239	0.68516
0.14486	7.07272	0.75525
0.14531	5.9024	0.76586
0.14577	6.33171	0.76099
0.14622	6.77919	0.70464
0.14657	4.91093	0.75121
0.14702	6.12731	0.75338
0.14747	6.17104	0.75172
0.14793	6.1815	0.75024
0.14833	5.74521	0.70643
0.14873	7.1518	0.76321
0.14918	5.23511	0.75872
0.14963	6.16323	0.75834
0.15009	4.41392	0.75027
0.15045	6.03935	0.69651
0.15089	5.2859	0.75187
0.15134	4.00757	0.75052
0.15179	6.3548	0.74753
0.15221	4.34084	0.69944
0.1526	7.04555	0.74052
0.15305	5.20465	0.74601
0.1535	5.02798	0.74939
0.15395	4.68271	0.74764
0.15433	5.21297	0.69361
0.15476	4.56772	0.74808
0.15521	3.11576	0.74307
0.15566	4.6883	0.74721
0.15609	5.62304	0.70499
0.15646	4.73851	0.74884
0.15692	5.02651	0.7427
0.15737	5.09498	0.74459
0.15782	5.2629	0.75223
0.1582	4.90737	0.69421
0.15863	4.09166	0.74244
0.15908	3.70293	0.73804
0.15953	4.51603	0.74675
0.15997	4.71059	0.71115
0.16033	4.94465	0.75387
0.16079	4.14784	0.74921
0.16124	5.95712	0.74417
0.16169	4.24533	0.74556
0.16208	5.14109	0.72993
0.16249	4.32757	0.74661
0.16295	3.4839	0.73568
0.1634	4.11799	0.73512
0.16384	3.37604	0.69217
0.1642	4.64372	0.73942
0.16465	3.8242	0.73507
0.16511	4.2801	0.73981
0.16556	5.44095	0.74408
0.16596	3.9157	0.6869
0.16636	4.65881	0.74978
0.16681	2.40247	0.74239
0.16727	4.6296	0.75202
0.16772	3.96676	0.74937
0.16808	3.3683	0.6955
0.16852	3.11224	0.73711
0.16897	3.34892	0.7291
0.16942	2.75291	0.73055
0.16984	3.13999	0.70574
0.17023	4.9121	0.74288
0.17068	4.34637	0.75171
0.17113	4.43418	0.7493
0.17158	4.69873	0.74471
0.17196	4.4977	0.69002
0.17239	3.53725	0.73888
0.17284	3.11681	0.73166
0.17329	4.26994	0.74177
0.17372	4.39467	0.69116
0.1741	2.14057	0.73954
0.17455	3.47589	0.74342
0.175	3.28863	0.74411
0.17545	3.45043	0.74209
0.17583	2.68755	0.68544
0.17626	2.52109	0.73911
0.17671	2.33918	0.73308
0.17716	3.39096	0.73165
0.1776	4.12654	0.69467
0.17797	4.12181	0.74655
0.17842	4.0954	0.74939
0.17887	5.21412	0.74488
0.17932	2.9479	0.73829
0.17971	3.03121	0.69036
0.18013	3.60283	0.74835
0.18058	3.65837	0.74811
0.18103	2.79177	0.74033
0.18147	2.646	0.68552
0.18183	2.66959	0.7361
0.18229	2.26214	0.731
0.18274	3.56886	0.7397
0.18319	2.82242	0.74684
0.18359	2.22887	0.68379
0.18399	2.8254	0.74426
0.18445	2.65947	0.73809
0.1849	4.06962	0.73608
0.18535	2.25882	0.7355
0.18571	2.64246	0.69197
0.18615	3.30284	0.74196
0.1866	2.44049	0.73579
0.18706	1.75626	0.73054
0.18747	2.5412	0.68852
0.18786	2.61576	0.73972
0.18831	3.25615	0.7389
0.18876	2.52376	0.73313
0.18922	3.3634	0.73484
0.18958	1.38189	0.68368
0.19002	4.29353	0.7416
0.19047	2.05993	0.73898
0.19092	3.21575	0.74182
0.19135	3.68146	0.68838
0.19173	1.74927	0.74246
0.19218	1.45369	0.737
0.19263	1.37615	0.72876
0.19308	2.01134	0.72547
0.19346	2.67878	0.68465
0.19389	2.74469	0.73209
0.19434	2.64949	0.73673
0.19479	1.19838	0.73087
0.19523	1.82389	0.67613
0.1956	3.15474	0.73639
0.19605	1.71967	0.73619
0.1965	2.13932	0.73443
0.19695	3.11577	0.73431
0.19734	2.76036	0.69047
0.19776	1.71876	0.72395
0.19821	3.15901	0.73873
0.19866	2.11832	0.74309
0.1991	2.20025	0.69319
0.19947	1.88538	0.74809
0.19992	1.27967	0.73598
0.20037	1.25731	0.7311
0.20082	1.79444	0.71894
0.20122	1.46498	0.68641
0.20162	2.75065	0.73256
0.20208	3.57412	0.73439
0.20253	2.66135	0.73573
0.20298	2.47178	0.73317
0.20333	2.35101	0.68954
0.20378	1.21186	0.72708
0.20424	1.04633	0.72773
0.20469	3.73544	0.73322
0.2051	1.40027	0.67934
0.20549	1.98417	0.73161
0.20594	1.39137	0.73864
0.2064	1.99213	0.74359
0.20685	1.95727	0.73907
0.20721	3.31912	0.69934
0.20765	1.52185	0.73661
0.2081	2.42035	0.73392
0.20856	1.12138	0.72963
0.20898	2.3704	0.68213
0.20936	1.71524	0.73201
0.20981	2.81251	0.74061
0.21026	1.512	0.72776
0.21072	2.61151	0.72742
0.21109	1.91321	0.67941
0.21152	2.31399	0.72848
0.21215	1.67854	0.60434
0.2126	1.05686	0.73026
0.21305	0.86129	0.71931
0.21351	1.97341	0.72442
0.21391	0.43779	0.67719
0.21431	1.52096	0.73053
0.21476	1.24653	0.73721
0.21521	3.0418	0.73745
0.21566	0.29008	0.73182
0.21603	0.98636	0.67782
0.21647	0.90725	0.71988
0.21692	1.63692	0.72043
0.21737	0.78321	0.72285
0.21779	1.73433	0.67708
0.21818	2.95735	0.72679
0.21863	0.98177	0.72706
0.21908	2.01623	0.7324
0.21953	2.31015	0.7344
0.21991	2.81288	0.6773
0.22034	1.4449	0.72573
0.22079	2.30826	0.7253
0.22124	0.93608	0.72041
0.22167	1.84922	0.67859
0.22204	1.15768	0.72088
0.2225	1.17097	0.72509
0.22295	1.21041	0.72772
0.2234	1.00684	0.72795
0.22378	0.93806	0.66948
0.2242	0.77924	0.71978
0.22466	1.84605	0.71955
0.22511	-0.5634	0.71278
0.22555	2.41295	0.67165
0.22591	-0.45302	0.71452
0.22636	1.73828	0.71884
0.22682	1.44266	0.71556
0.22727	2.26022	0.72196
0.22766	0.792	0.66355
0.22807	1.37465	0.71628
0.22853	1.88233	0.7158
0.22898	1.99294	0.71613
0.22942	1.8902	0.67349
0.22978	1.38315	0.72205
0.23023	0.85058	0.71614
0.23068	0.0903	0.71279
0.23114	1.27205	0.72238
0.23154	1.5103	0.6689
0.23194	0.24022	0.71869
0.23239	0.93635	0.71915
0.23284	1.01856	0.72147
0.2333	1.25576	0.71524
0.23366	1.60128	0.66258
0.2341	0.91181	0.7134
0.23455	2.17748	0.71644
0.235	0.41147	0.71381
0.23542	0.89162	0.65942
0.23581	1.79138	0.71823
0.23626	1.47313	0.71764
0.23671	0.39461	0.71249
0.23716	2.90693	0.71523
0.23754	0.84553	0.65628
0.23797	2.30848	0.70615
0.23842	1.99753	0.70998
0.23887	1.09503	0.71259
0.2393	2.04686	0.65919
0.23968	2.17996	0.71345
0.24013	1.19908	0.71411
0.24058	0.28409	0.70977
0.24103	1.56544	0.70309
0.24141	0.89307	0.65689
0.24184	1.79476	0.71045
0.24229	1.07647	0.70849
0.24274	1.56133	0.70602
0.24318	1.5318	0.66019
0.24354	0.40346	0.70399
0.244	1.33817	0.71009
0.24445	1.02747	0.70935
0.2449	1.02246	0.70665
0.24529	3.32696	0.66553
0.2457	1.51715	0.70886
0.24616	0.66606	0.71263
0.24661	1.886	0.72153
0.24705	1.08771	0.65818
0.24741	0.46523	0.70936
0.24786	0.37272	0.70742
0.24832	0.97885	0.71681
0.24877	0.88205	0.71074
0.24917	2.70682	0.658
0.24957	1.08401	0.71513
0.25002	-0.3502	0.70684
0.25048	1.41751	0.71147
0.25093	1.90608	0.71174
0.25128	0.3666	0.6501
0.25173	2.12355	0.70985
0.25218	1.48621	0.70863
0.25264	1.22707	0.70533
0.25305	2.4666	0.65691
0.25344	1.31081	0.70679
0.25389	2.34152	0.70799
0.25434	1.47917	0.70483
0.25479	2.12067	0.70815
0.25516	2.38828	0.65581
0.2556	1.15696	0.69835
0.25605	1.47663	0.6942
0.2565	1.48103	0.70581
0.25693	0.71775	0.65296
0.25731	1.70054	0.70609
0.25776	1.38979	0.70467
0.25821	0.05074	0.70692
0.25866	0.50501	0.70406
0.25904	1.69622	0.65594
0.25947	1.59417	0.71219
0.25992	1.87513	0.70903
0.26037	2.18712	0.71174
0.2608	1.01351	0.65629
0.26118	0.9352	0.70564
0.26163	1.12592	0.70863
0.26208	0.98329	0.70657
0.26253	0.8476	0.71078
0.26292	2.34425	0.6625
0.26334	1.60366	0.70718
0.26379	-0.185	0.70282
0.26424	2.24443	0.70507
0.26468	1.32212	0.6577
0.26504	1.76531	0.70722
0.26549	1.36706	0.70432
0.26595	1.22271	0.70086
0.2664	0.2646	0.69854
0.2668	1.20357	0.65608
0.2672	2.05092	0.70499
0.26766	1.82614	0.7103
0.26811	0.49706	0.70301
0.26856	2.11354	0.69919
0.26891	1.88436	0.66236
0.26936	1.73989	0.70663
0.26982	1.48606	0.70525
0.27027	1.07541	0.70324
0.27068	1.34098	0.65843
0.27107	0.90895	0.70413
0.27152	1.24565	0.70641
0.27198	0.73126	0.7042
0.27243	1.83059	0.70735
0.27279	0.81241	0.65444
0.27323	1.064	0.70741
0.27368	-0.35104	0.70714
0.27414	0.3114	0.70384
0.27455	2.03278	0.65774
0.27494	-0.01855	0.70056
0.27539	0.45798	0.69906
0.27584	0.77129	0.70474
0.2763	0.37142	0.70221
0.27667	0.78338	0.6501
0.2771	0.60558	0.69888
0.27755	1.42727	0.70243
0.278	1.59127	0.70072
0.27843	1.20235	0.65111
0.27881	2.1118	0.70223
0.27926	-0.25784	0.69758
0.27971	0.61526	0.69445
0.28016	2.53318	0.69771
0.28055	0.54024	0.64968
0.28097	0.26172	0.69575
0.28142	0.1755	0.691
0.28187	0.88382	0.69018
0.28231	1.19234	0.64886
0.28268	1.33873	0.69164
0.28313	1.85787	0.69253
0.28358	0.91072	0.69355
0.28403	2.94359	0.70097
0.28443	2.13735	0.64793
0.28484	0.87496	0.69216
0.28529	1.14256	0.69213
0.28574	1.32083	0.69452
0.28619	1.43645	0.6459
0.28654	1.35411	0.69276
0.287	1.68982	0.69792
0.28745	1.65826	0.69767
0.2879	0.10493	0.69634
0.28831	1.73536	0.64485
0.2887	1.67335	0.69448
0.28916	2.17161	0.70057
0.28961	1.23272	0.68716
0.29006	0.67354	0.68794
0.29042	0.99479	0.64163
0.29086	1.143	0.6824
0.29132	0.20681	0.68417
0.29177	1.59173	0.68791
0.29218	1.26001	0.64071
0.29257	1.84179	0.68702
0.29302	2.03075	0.68591
0.29347	1.40147	0.68463
0.29393	0.36648	0.68145
0.2943	1.49333	0.64369
0.29473	0.5381	0.67856
0.29518	2.07938	0.68329
0.29563	1.06946	0.68624
0.29606	1.66885	0.64764
0.29644	1.48956	0.68959
0.29689	1.33094	0.69488
0.29734	1.48857	0.69445
0.29779	0.95529	0.68384
0.29818	0.33277	0.63423
0.2986	1.42262	0.68471
0.29905	0.14175	0.68153
0.2995	1.30661	0.68276
0.29994	1.03034	0.64341
0.30031	1.73326	0.68976
0.30076	0.6771	0.69251
0.30121	1.89812	0.69389
0.30166	0.79898	0.69359
0.30206	1.93419	0.64332
0.30247	0.25958	0.68647
0.30292	0.65687	0.68836
0.30337	1.4597	0.69294
0.30382	0.96318	0.65821
0.30417	1.09612	0.701
0.30463	2.28772	0.69812
0.30508	1.00303	0.6929
0.30553	1.14416	0.68223
0.30593	0.98956	0.6353
0.30634	-0.31395	0.67843
0.30679	2.35372	0.68369
0.30724	0.27293	0.68465
